images,steering
IMG/center_2020_03_13_18_45_45_381.jpg,0
IMG/center_2020_03_04_18_51_13_374.jpg,-0.0006058
IMG/center_2020_03_13_18_23_14_466.jpg,0
IMG/center_2020_03_13_18_43_55_057.jpg,0
IMG/center_2020_03_13_18_48_16_823.jpg,0
IMG/center_2020_03_04_18_53_30_342.jpg,0
IMG/center_2020_03_13_18_42_35_988.jpg,0
IMG/center_2020_03_04_18_53_29_982.jpg,0
IMG/center_2020_03_13_18_44_02_621.jpg,0
IMG/center_2020_03_13_18_19_13_352.jpg,0
IMG/center_2020_03_13_18_48_20_115.jpg,0
IMG/center_2020_03_13_18_26_01_064.jpg,0
IMG/center_2020_03_13_18_20_23_933.jpg,0
IMG/center_2020_03_04_18_49_14_983.jpg,0
IMG/center_2020_03_13_18_25_32_365.jpg,0
IMG/center_2020_03_13_18_39_25_803.jpg,0
IMG/center_2020_03_13_18_40_04_778.jpg,0
IMG/center_2020_03_04_18_49_08_722.jpg,0
IMG/center_2020_03_13_18_43_54_914.jpg,0
IMG/center_2020_03_04_18_52_54_712.jpg,0
IMG/center_2020_03_04_18_53_38_510.jpg,0
IMG/center_2020_03_04_18_51_55_560.jpg,0
IMG/center_2020_03_13_18_43_05_812.jpg,0
IMG/center_2020_03_04_18_53_27_377.jpg,0
IMG/center_2020_03_13_18_23_34_876.jpg,0
IMG/center_2020_03_13_18_42_33_219.jpg,0
IMG/center_2020_03_04_18_49_05_610.jpg,0
IMG/center_2020_03_13_18_46_58_204.jpg,0
IMG/center_2020_03_13_18_24_33_752.jpg,0
IMG/center_2020_03_13_18_20_24_415.jpg,0
IMG/center_2020_03_04_18_55_51_553.jpg,0
IMG/center_2020_03_04_18_55_18_607.jpg,0
IMG/center_2020_03_13_18_19_22_581.jpg,0
IMG/center_2020_03_04_18_51_40_477.jpg,0
IMG/center_2020_03_13_18_47_46_188.jpg,0
IMG/center_2020_03_13_18_48_42_294.jpg,0
IMG/center_2020_03_04_18_50_56_020.jpg,0
IMG/center_2020_03_13_18_46_12_016.jpg,0
IMG/center_2020_03_13_18_46_19_131.jpg,0
IMG/center_2020_03_13_18_21_48_447.jpg,0
IMG/center_2020_03_13_18_44_28_389.jpg,0
IMG/center_2020_03_04_18_50_19_165.jpg,0
IMG/center_2020_03_04_18_51_40_398.jpg,0
IMG/center_2020_03_13_18_37_55_846.jpg,0
IMG/center_2020_03_04_18_52_27_502.jpg,-0.0006058
IMG/center_2020_03_13_18_22_10_794.jpg,0
IMG/center_2020_03_13_18_49_03_159.jpg,0
IMG/center_2020_03_04_18_51_40_803.jpg,0
