images,steering
IMG/center_2020_03_13_18_24_23_409.jpg,-0.1472786
IMG/center_2020_03_13_18_46_41_479.jpg,-0.0963783
IMG/center_2020_03_13_18_25_32_543.jpg,-0.020009
IMG/center_2020_03_13_18_41_39_681.jpg,0.0
IMG/center_2020_03_13_18_22_28_644.jpg,0.0
IMG/center_2020_03_13_18_41_44_094.jpg,-0.07090930000000001
IMG/center_2020_03_13_18_23_39_242.jpg,-0.0327435
IMG/center_2020_03_13_18_37_56_398.jpg,-0.020009
IMG/center_2020_03_04_18_49_01_580.jpg,-0.2651292
IMG/center_2020_03_13_18_24_31_612.jpg,-0.0454403
IMG/center_2020_03_13_18_46_55_562.jpg,0.0
IMG/center_2020_03_13_18_48_50_014.jpg,-0.007274500000000001
IMG/center_2020_03_04_18_50_14_459.jpg,-0.0201974
IMG/center_2020_03_13_18_24_37_130.jpg,0.0
IMG/center_2020_03_13_18_20_03_882.jpg,-0.0454403
IMG/center_2020_03_13_18_49_15_110.jpg,-0.007274500000000001
IMG/center_2020_03_13_18_48_15_378.jpg,0.0
IMG/center_2020_03_13_18_40_59_891.jpg,-0.0454403
IMG/center_2020_03_13_18_16_49_195.jpg,-0.0327435
IMG/center_2020_03_13_18_20_24_746.jpg,0.0
IMG/center_2020_03_13_18_24_03_258.jpg,-0.020009
IMG/center_2020_03_04_18_53_51_909.jpg,-0.0201974
IMG/center_2020_03_13_18_50_26_545.jpg,-0.020009
IMG/center_2020_03_04_18_54_13_786.jpg,-0.0985635
IMG/center_2020_03_13_18_43_06_091.jpg,0.0
IMG/center_2020_03_13_18_39_24_931.jpg,-0.0327435
IMG/center_2020_03_04_18_50_18_991.jpg,0.0
IMG/center_2020_03_13_18_23_25_195.jpg,-0.020009
IMG/center_2020_03_13_18_22_43_130.jpg,-0.020009
IMG/center_2020_03_13_18_48_44_758.jpg,-0.1727476
IMG/center_2020_03_13_18_24_28_219.jpg,-0.020009
IMG/center_2020_03_13_18_47_22_944.jpg,-0.1727476
IMG/center_2020_03_13_18_24_02_711.jpg,-0.020009
IMG/center_2020_03_13_18_49_06_847.jpg,-0.020009
IMG/center_2020_03_13_18_43_19_199.jpg,-0.058174800000000006
IMG/center_2020_03_04_18_51_58_603.jpg,0.0716628
IMG/center_2020_03_04_18_55_46_059.jpg,-0.0201974
IMG/center_2020_03_13_18_26_25_015.jpg,-0.020009
IMG/center_2020_03_13_18_38_30_940.jpg,0.0
IMG/center_2020_03_13_18_21_25_094.jpg,-0.0454403
IMG/center_2020_03_04_18_51_01_271.jpg,0.0
IMG/center_2020_03_13_18_22_34_486.jpg,-0.020009
IMG/center_2020_03_13_18_20_20_839.jpg,0.0
IMG/center_2020_03_13_18_20_00_069.jpg,-0.0327435
IMG/center_2020_03_04_18_49_11_454.jpg,0.3491844
IMG/center_2020_03_13_18_43_23_504.jpg,-0.0327435
IMG/center_2020_03_13_18_42_48_384.jpg,-0.0963783
IMG/center_2020_03_04_18_52_19_138.jpg,-0.0104016
IMG/center_2020_03_13_18_23_07_537.jpg,0.0
IMG/center_2020_03_13_18_25_04_129.jpg,-0.0836438
IMG/center_2020_03_13_18_21_20_889.jpg,-0.0327435
IMG/center_2020_03_13_18_43_28_830.jpg,-0.0454403
IMG/center_2020_03_13_18_25_24_018.jpg,-0.020009
IMG/center_2020_03_13_18_49_04_181.jpg,-0.007274500000000001
IMG/center_2020_03_04_18_55_43_522.jpg,-0.0593804
